Experiment_run,true_energy,hybrid_model_energy,difference,N
experiment_number_0,-5.315575141437583,-2.777270170968568,88.15972044459696,8
experiment_number_1,-1.528237713670721,-1.5276737399917213,0.039820233504326646,4
experiment_number_2,-2.7453922656227285,-2.0952697206708697,31.02324360667417,6
experiment_number_3,-2.222124526466972,-1.7072764872276642,29.687415590063733,5
experiment_number_4,-5.315575141437583,-2.825042541044847,88.15885667388974,8
experiment_number_5,-2.222124526466972,-1.7135364201039651,29.643425102411435,5
experiment_number_6,-1.528237713670721,-1.5277138338295664,0.03427201170182972,4
experiment_number_7,-0.020000000000000004,0.0,inf,2
experiment_number_8,-0.03,-0.029999988810035336,3.084706243077086e-06,3
experiment_number_9,-1.528237713670721,-1.5277137919786417,0.034271458462406985,4
experiment_number_10,-5.315575141437583,-2.8250376065981073,88.15949755752754,8
